 􀀀 spinner
 􀀁 pulse
 􀀂 wave
 􀀃 fire
 􀀄 gem
 􀀅 heart
 􀀆 party
 􀀇 plasma
 􀀈 ripple
 􀀉 rocket
 􀀊 smiley
 􀀋 sparkle
 􀀌 star
 􀀒 watch
 􀀓 spiral
 􀀕 border-dots
 􀀖 orbit-dots
 􀀗 border-dots-grouped
 􀀘 worm
 􀀙 bouncing-ball
 􀀚 radar-sweep
 􀀛 hourglass
 􀀜 dna-helix
 􀀝 equalizer
 􀀞 pendulum
 􀀟 conveyor-dots
 􀀠 pong
 􀀡 rain
 􀀢 orbit
 􀀣 crosshair-pulse
 􀀤 matrix-rain
 􀀥 metaballs
 􀀦 heartbeat
 􀀧 typing-dots
 􀀨 signal-bars
 􀀩 vinyl
 􀀪 dvd-bounce
 􀃵 butterfly-flock
 􀃶 looping-spline
 􀃷 mandelbrot-deco
 􀃸 hg-sdf
 􀃹 voronoi
 􀃺 minkowski-tube
 􀃻 biomine
 􀃼 julia
 􀃽 mandelbrot
